Shape, Computations Saved for Filters Iterations,Number of Zero Filters,Computations Saved for Cube Iterations,Number of Zero Cubes
"(16, 3, 3, 3)",6,16,1,4
"(16, 3, 3, 16)",35,92,0,0
"(16, 3, 3, 16)",60,63,1,0
"(32, 3, 3, 16)",116,167,1,0
"(32, 3, 3, 32)",283,264,0,0
"(32, 1, 1, 16)",13,410,9,1
"(64, 3, 3, 32)",645,522,0,0
"(64, 3, 3, 64)",1423,829,1,2
"(64, 1, 1, 32)",53,1638,18,2
