Shape, Computations Saved for Filters Iterations,Number of Zero Filters,Computations Saved for Cube Iterations,Number of Zero Cubes
"(16, 3, 3, 3)",0,16,0,4
"(16, 3, 3, 16)",0,92,0,0
"(16, 3, 3, 16)",0,63,0,0
"(32, 3, 3, 16)",0,167,0,0
"(32, 3, 3, 32)",0,264,0,0
"(32, 1, 1, 16)",13,410,0,1
"(64, 3, 3, 32)",5,522,0,0
"(64, 3, 3, 64)",4,829,0,2
"(64, 1, 1, 32)",53,1638,0,2
